Oliver Connell & Son Limited,,, -   ,,,rev O,OH&P,NETT ALLOWANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client,,, -   ,,,20 May 22,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,Prelims,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,PRELIMS,
Site,,, -   ,,,ref xxxx,,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Supervision,Other,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Staff,Other
,,, Quant ,Unit,Rate,Total,18.0%,,22.61,24.44,26.28,25.97,31.78,26.89,14.44,,,41.50,,,"1,170.00",,,300.00,,,,,,,,,,,,,,,,,,,,,,,
Groundworks,,, -   ,,,,,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,1.0000,1.0000,1.0000,,,,,,man weeks,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,
,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schedule of Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preambles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Excavation quantities based on existing ground level being m OD,,,item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,No allowance has been made for dealing with contaminated ground,,,item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tender based on drawings:,,,item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Demolition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Demolish existing timber & plaster partitions/floors/roofs (Reduce elements to solid m3),,,m3,158.66,,24.20,134.46,,1.36,,,,1.49,0.80,0.80,,,,,,,,130.00,,,,,,,,,,,,,,,,,,,,,,,
5,Demolish existing brickwork/blockwork/plaster (Reduce walls to solid m3),,,m3,120.30,,18.35,101.95,,4.14,,,,4.55,3.28,3.28,,,,,,,,86.71,,,,,,,,,,,,,,,,,,,,,,,
6,"Demolish existing RC structure inc breakup, load & C/A (reduce to solid m3)",,,m3,209.55,,31.97,177.59,,12.47,,,,13.72,10.70,10.70,,,,,,,,130.00,,,,,,,,,,,,,,,,,,,,,,,
7,Break up & remove existing GF concrete slabs,,,m3,74.67,,11.39,63.28,,9.69,,,,10.66,8.23,8.23,,,,,,,,26.47,,,,,,,,,,,,,,,,,,,,,,,
8,Grub up & remove existing foundations and underground obstructions and backfill voids with structural granular fill well compacted in layers,,,m3,133.85,,20.42,113.43,,13.91,,,,15.30,11.52,11.52,,,,,,25.88,,35.29,,,,,,,,,,,,,,,,,,,,,,,
9,Grub up & remove existing foundations and underground obstructions and backfill voids with structural granular fill well compacted in layers,,,m3,109.21,,16.66,92.55,,13.91,,,,15.30,11.52,11.52,,,,,,5.00,,35.29,,,,,,,,,,,,,,,,,,,,,,,
10,Grub up & remove existing basements and underground structures and backfill voids with structural granular fill well compacted in layers; total gross volume m3,,,m3,75.34,,11.49,63.85,,7.03,,,,7.74,5.72,5.72,,,,,,25.88,,11.75,,,,,,,,,,,,,,,,,,,,,,,
11,Temporary works required for demolition,,,m2,109.28,,16.67,92.61,,,26.28,,,26.89,39.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
